No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	1	HDR-M-2.54_1x2	BAT1	hdr-m-2.54_1x2				C124375	LCSC
2	1	1uF	C1	C0603		CL10A105KB8NNNC	SAMSUNG(三星)	C15849	LCSC
3	5	100nF	C2,C4,C8,C9,C10	C0603		CC0603KRX7R9BB104	YAGEO(国巨)	C14663	LCSC
4	2	10uF	C5,C6	C0603	10uF	CL10A106KP8NNNC	SAMSUNG(三星)	C19702	LCSC
5	1	10uF	C7	C0603		CL10A106KP8NNNC	SAMSUNG(三星)	C19702	LCSC
6	1	HC-1.25-5PWT	CN1	CONN-SMD_5P-P1.25_HCTL_HC-1.25-5PWT		HC-1.25-5PWT	HCTL(华灿天禄)	C2845382	LCSC
7	1	22kΩ	FB1	R0402	22kΩ	0402WGF2202TCE	UNI-ROYAL(厚声)	C25768	LCSC
8	1	100kΩ	FB2	R0402	100kΩ	0402WGF1003TCE	UNI-ROYAL(厚声)	C25741	LCSC
9	1	ICM-45686	IMU1	LGA-14_L3.0-W2.5-P0.50-TL		ICM-45686	TDK InvenSense(应美盛)	C22459454	LCSC
10	1	2.2uH	L1	IND-SMD_L2.5-W2.0_YXMBL252010P	2.2uH	APH252010T2R2M	APV(爱普微)	C5349606	LCSC
11	1	NH-B2020RGBA-HF	LED1	LED-ARRAY-SMD_4P-L2.1-W2.1-TL_NH-B2020RGBA		NH-B2020RGBA-HF	国星光电	C2874116	LCSC
12	1	32.768kHz	OSC1	OSC-SMD_4P-L3.2-W2.5-BL	32.768kHz	OK2EL89CJI-111YLC-32.768K	YXC(扬兴晶振)	C5280579	LCSC
13	2	5.1kΩ	R1,R2	R0603		0603WAF5101T5E	UNI-ROYAL(厚声)	C23186	LCSC
14	7	4.7kΩ	R3,R4,R5,R6,R7,R8,R9	R0603		0603WAF4701T5E	UNI-ROYAL(厚声)	C23162	LCSC
15	1	100kΩ	R11	R0603	100kΩ	0603WAF1003T5E	UNI-ROYAL(厚声)	C25803	LCSC
16	1	180kΩ	R12	R0603		0603WAF1803T5E	UNI-ROYAL(厚声)	C22827	LCSC
17	1	220kΩ	R13	R0603	220kΩ	0603WAF2203T5E	UNI-ROYAL(厚声)	C22961	LCSC
18	1	1kΩ	R14	R0603		0603WAF1001T5E	UNI-ROYAL(厚声)	C21190	LCSC
19	1	2kΩ	R15	R0603	2kΩ	0603WAF2001T5E	UNI-ROYAL(厚声)	C22975	LCSC
20	1	SSSS811101	SW1	SW-SMD_SSSS811101		SSSS811101	ALPSALPINE(阿尔卑斯阿尔派)	C109335	LCSC
21	1	2.4GHz	U1	WIFIM-SMD_ESP-12F-ESP8266MOD	2.4GHz	ESP-12F(ESP8266MOD)	Ai-Thinker(安信可)	C82891	LCSC
22	1	M3406-ADJ	U2	SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR		M3406-ADJ	西安航天民芯	C83224	LCSC
23	1	TP4057-42-SOT26-R	U3	SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL		TP4057-42-SOT26-R	TOPPOWER(南京拓微)	C12044	LCSC
24	1	CH340X	UART1	MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL		CH340X	WCH(南京沁恒)	C3035748	LCSC
25	1	TYPE-C 16PIN 2MD(073)	USB1	USB-C-SMD_TYPE-C-6PIN-2MD-073		TYPE-C 16PIN 2MD(073)	SHOU HAN(首韩)	C2765186	LCSC
